"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 27, 2025 7:01:13 AM PDT","24792137001","Adjustment","","MSUS-D33-5-3","FBA Inventory Reimbursement - Lost:Warehouse","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.48","8.48"
"Oct 27, 2025 7:01:13 AM PDT","24792137001","Adjustment","","MSUS-D33-5-3","FBA Inventory Reimbursement - Lost:Warehouse","3","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.44","25.44"
"Oct 27, 2025 8:09:50 AM PDT","24792137001","Order","112-4869291-4994630","MSUS-D33-2-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black S","1","amazon.com","Standard Orders","Amazon","OROVILLE","CA","95966","MarketplaceFacilitator","14.95","1.23","0","0","0","0","0","0","0","0","-1.23","-0.75","-5.46","0","0","8.74"
"Oct 27, 2025 8:54:34 AM PDT","24792137001","FBA Customer Return Fee","111-6979978-8101826","X00467AEGJ","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.62","0","0","-2.62"
"Oct 27, 2025 8:56:27 AM PDT","24792137001","Liquidations","31796122156551","X00413EC4X","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black L","1","","Standard Orders","","","","","","0.34","0","0","0","0","0","0","0","0","0","0","0","0","-0.30","0","0.04"
"Oct 27, 2025 9:02:45 AM PDT","24792137001","Adjustment","111-9955482-4628253","MSUS-D33-2-3","FBA Inventory Reimbursement - Customer Return","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.25","9.25"
"Oct 27, 2025 10:05:59 AM PDT","24792137001","FBA Customer Return Fee","112-8890005-8605869","X00413EBBH","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.27","0","0","-2.27"
"Oct 27, 2025 10:18:52 AM PDT","24792137001","Order","114-0000052-3685042","MSUS-D33-7-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe S","1","amazon.com","Standard Orders","Amazon","NORTH LAS VEGAS","NV","89081","MarketplaceFacilitator","16.49","1.38","0","0","0","0","0","0","0","0","-1.38","-1.65","-4.77","0","0","10.07"
"Oct 27, 2025 10:39:26 AM PDT","24792137001","Order","114-4875691-4593843","MSUS-D33-6-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top White S","1","amazon.com","Standard Orders","Amazon","HUNTINGDON","TN","38344","MarketplaceFacilitator","15.83","1.54","0","0","0","0","0","0","0","0","-1.54","-1.58","-5.00","0","0","9.25"
"Oct 27, 2025 12:01:03 PM PDT","24792137001","Order","113-1487505-4561002","MSUS-D33-5-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","amazon.com","Standard Orders","Amazon","SURPRISE","AZ","85387","MarketplaceFacilitator","14.95","1.36","1.00","0","0","0","0","0","-1.00","0","-1.36","-0.75","-5.00","0","0","9.20"
