"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.10.2025 05:45:51 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","304-8007107-2692337","X0019SDKOD","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,60","0","0","-1,60"
"01.10.2025 05:54:35 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","304-0002755-7283555","X001C7OEFZ","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,54","0","0","-1,54"
"01.10.2025 07:48:33 UTC","25624010702","Bestellung","028-5974076-8052318","MS-D06-368-5","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Blau + Weiß + Grün, XL Fit 85DD 90D 90DD 95BC 95D","1","amazon.de","Amazon","Pinggau","","8243","MarketplaceFacilitator","21,17","4,23","0","0","0","0","0","0","-4,23","-3,78","-2,78","0","0","14,61"
"01.10.2025 07:54:42 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","304-2270162-0949161","X0027U7KFH","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,58","0","0","-1,58"
"01.10.2025 08:06:12 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","304-1275992-3776336","X0027UA98R","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,58","0","0","-1,58"
"01.10.2025 09:06:07 UTC","25624010702","Anpassung","","MS-D06-26-3","Versand durch Amazon Erstattung für Lagerbestand -  Allgemeine Anpassung","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-8,82","-8,82"
"01.10.2025 09:07:13 UTC","25624010702","Bestellung_Wiedereinzug","303-4008376-4635510","","Base Tax","","Amazon.de","","","","","","0","2,18","0","0","0","0","0","0","0","0","0","0","0","2,18"
"01.10.2025 09:07:13 UTC","25624010702","Bestellung_Wiedereinzug","303-4008376-4635510","","Shipping Tax","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01.10.2025 09:07:13 UTC","25624010702","Bestellung_Wiedereinzug","303-4008376-4635510","","MarketplaceFacilitator","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","-2,18","0","0","0","0","-2,18"
"01.10.2025 09:15:52 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","305-5927946-7870766","X001C7OEFZ","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,54","0","0","-1,54"
