"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"7 Dec 2025 17:33:02 UTC","25999281222","Order","203-5497476-4369116","MSUK-D70-7-4","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Brown, L","1","amazon.co.uk","Amazon","Carluke","South Lanarkshire","ML8 4","MarketplaceFacilitator","11.23","2.25","0","0","0","0","0","0","-2.25","-1.08","-3.00","-0.08","0","7.07"
"7 Dec 2025 17:49:12 UTC","25999281222","Order","205-7732347-6745926","MS-D06-208-5","ANGOOL Women's Sports Bra Padded High Impact Racerback Comfy Yoga Workout Bra, XL Fit 38DD 40D 40DD 42B 42C 42D, Black+grey+green","1","amazon.co.uk","Amazon","SWADLINCOTE","","DE11 8","MarketplaceFacilitator","14.07","2.82","0","0","0","0","0","0","-2.82","-2.53","-3.28","-0.12","0","8.14"
"7 Dec 2025 18:19:23 UTC","25999281222","Order","206-5621510-7652301","MSUK-D71-205-2","ANGOOL Women's Sports Bra Non-Wired Padded Adjustable Straps Low Impact Workout for Yoga Pilates Gym, Black+Grey+Beige, S","1","amazon.co.uk","Amazon","WILLINGTON","","DE65 6","MarketplaceFacilitator","21.66","4.33","0.83","0.17","0","0","-0.83","-0.17","-4.33","-3.90","-2.77","-0.14","0","14.85"
"7 Dec 2025 20:09:56 UTC","25999281222","Order","205-5514437-3408317","MSUK-D70-2-3","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Black, M","1","amazon.co.uk","Amazon","skelmersdale","lancs","WN8 6","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
"7 Dec 2025 20:21:07 UTC","25999281222","Order","202-9347370-8017918","MSUK-D70-7-4","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Brown, L","1","amazon.co.uk","Amazon","RAINHAM","","ME8 7","MarketplaceFacilitator","11.23","2.25","0","0","0","0","0","0","-2.25","-1.08","-3.00","-0.08","0","7.07"
"7 Dec 2025 20:26:08 UTC","25999281222","Order","202-2649823-1574713","MSUK-D70-5-4","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, L","1","amazon.co.uk","Amazon","LEEDS","","LS15 4","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
"7 Dec 2025 20:31:18 UTC","25999281222","Refund","203-4560689-0430721","MS-D06-206-2","ANGOOL Women's Sports Bra Padded High Impact Racerback Comfy Yoga Workout Bra, S Fit 30BC 30D 32BC 32D 34BC, Black+gray+white","1","amazon.co.uk","Amazon","Leighterton","Gloucestershire","GL8 8","MarketplaceFacilitator","-14.07","-2.82","0","0","0","0","0","0","2.82","2.02","0","0.05","0","-12.00"
"7 Dec 2025 20:35:49 UTC","25999281222","Order","203-4830449-4685158","MSUK-D70-2-5","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Black, XL","2","amazon.co.uk","Amazon","LONDON","","SW19 3","MarketplaceFacilitator","22.14","4.44","0.65","0.14","0","0","-0.65","-0.14","-4.44","-2.12","-6.00","-0.16","0","13.86"
"7 Dec 2025 20:35:49 UTC","25999281222","Order","203-4830449-4685158","MSUK-D70-5-5","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, XL","1","amazon.co.uk","Amazon","LONDON","","SW19 3","MarketplaceFacilitator","11.07","2.22","0.33","0.07","0","0","-0.33","-0.07","-2.22","-1.06","-3.00","-0.08","0","6.93"
"7 Dec 2025 20:35:49 UTC","25999281222","Order","203-4830449-4685158","MSUK-D70-7-5","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Brown, XL","2","amazon.co.uk","Amazon","LONDON","","SW19 3","MarketplaceFacilitator","22.46","4.50","0.66","0.14","0","0","-0.66","-0.14","-4.50","-2.16","-6.00","-0.16","0","14.14"
"7 Dec 2025 20:40:11 UTC","25999281222","Order","206-6753769-6335550","MSUK-D71-2-3","ANGOOL Women's Sports Bra Non-Wired Padded Adjustable Straps Low Impact Workout for Yoga Pilates Gym, Black, M","1","amazon.co.uk","Amazon","JEDBURGH","","TD8 6","MarketplaceFacilitator","8.39","1.68","0","0","0","0","0","0","-1.68","-0.81","-2.77","-0.08","0","4.73"
"7 Dec 2025 20:48:36 UTC","25999281222","Order","204-0109338-9658738","MS-D06-20-4","ANGOOL Women's Sports Bra Padded High Impact Racerback Comfy Yoga Workout Bra, L Fit 36D 36DD 36E 38D 40B 40C, Black+grey","1","amazon.co.uk","Amazon","MALVERN","","WR14 2","MarketplaceFacilitator","12.49","2.50","0","0","0","0","0","0","-2.50","-1.20","-3.25","-0.09","0","7.95"
