"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 18, 2025 12:35:14 AM PDT","24685695611","Order","114-1613126-4707444","WNUS-D33-7-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Brown M","1","amazon.com","Amazon","RIO RICO","AZ","85648","MarketplaceFacilitator","16.32","1.08","0","0","0","0","0","0","0","0","-1.08","-1.63","-4.67","0","0","10.02"
"Oct 18, 2025 12:39:03 AM PDT","24685695611","Order","113-6980792-8289818","WNUS-D33-5-5","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige XL","1","amazon.com","Amazon","HAMPSTEAD","NC","28443","MarketplaceFacilitator","16.32","1.10","0","0","0","0","0","0","0","0","-1.10","-1.63","-5.12","0","0","9.57"
"Oct 18, 2025 12:43:53 AM PDT","24685695611","Order","S01-6002355-8142802","WNUS-D33-7-4","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Brown L","1","sim1.stores.amazon.com","Amazon","White Lake","MI","48383","","0","0","0","0","0","0","0","0","0","0","0","0","-11.53","0","0","-11.53"
"Oct 18, 2025 12:44:53 AM PDT","24685695611","Order","113-0628902-5461851","WNUS-D33-2-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black M","1","amazon.com","Amazon","ASHBURN","VA","20148","MarketplaceFacilitator","16.32","0.98","0","0","0","0","0","0","0","0","-0.98","-1.63","-4.67","0","0","10.02"
"Oct 18, 2025 12:44:53 AM PDT","24685695611","Order","113-0628902-5461851","WNUS-D33-2-4","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black L","1","amazon.com","Amazon","ASHBURN","VA","20148","MarketplaceFacilitator","22.99","1.38","0","0","0","0","0","0","0","0","-1.38","-3.91","-4.67","0","0","14.41"
"Oct 18, 2025 12:47:05 AM PDT","24685695611","Order","112-6334702-2944201","WNUS-D33-2-6","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black 2XL","1","amazon.com","Amazon","ALLEN PARK","MI","48101","MarketplaceFacilitator","16.32","0.98","0","0","0","0","0","0","0","0","-0.98","-1.63","-5.12","0","0","9.57"
"Oct 18, 2025 12:51:31 AM PDT","24685695611","Order","113-7758155-4953808","WNUS-D33-2-5","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black XL","1","amazon.com","Amazon","GLEN COVE","NY","11542","MarketplaceFacilitator","16.32","0.75","0","0","0","0","0","0","0","0","-0.75","-1.63","-5.12","0","0","9.57"
"Oct 18, 2025 12:53:12 AM PDT","24685695611","Refund","113-1534191-6337805","WNUS-D33-6-2","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette White S","1","amazon.com","Amazon","AUSTIN","TX","78724","MarketplaceFacilitator","-16.32","-1.35","0","0","0","0","0","0","0","0","1.35","1.30","0","0","0","-15.02"
"Oct 18, 2025 1:00:00 AM PDT","24685695611","Order","111-7393902-4950646","WNUS-D33-5-4","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige L","1","amazon.com","Amazon","SAN DIEGO","CA","92131","MarketplaceFacilitator","16.32","1.26","1.50","0","0","0","0","0","-1.50","0","-1.26","-1.63","-4.67","0","0","10.02"
"Oct 18, 2025 1:00:15 AM PDT","24685695611","Order","113-3207894-8414644","WNUS-D33-2-4","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black L","1","amazon.com","Amazon","ATLANTA","GA","30331","MarketplaceFacilitator","22.99","2.05","0","0","0","0","0","0","0","0","-2.05","-3.91","-4.67","0","0","14.41"
"Oct 18, 2025 1:02:03 AM PDT","24685695611","Order","112-6042913-4618616","WNUS-D33-5-2","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige S","1","amazon.com","Amazon","ALPHARETTA","GA","30005","MarketplaceFacilitator","16.32","1.14","0","0","0","0","0","0","0","0","-1.14","-1.63","-4.45","0","0","10.24"
"Oct 18, 2025 1:02:56 AM PDT","24685695611","Order","111-9832032-7524249","WNUS-D33-25-2","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black+Beige 2Pack S","1","amazon.com","Amazon","COACHELLA","CA","92236","MarketplaceFacilitator","25.55","2.24","0","0","0","0","0","0","0","0","-2.24","-4.34","-5.12","0","0","16.09"
"Oct 18, 2025 1:07:07 AM PDT","24685695611","Order","112-3311001-9002637","WNUS-D62-5-42G","Lusait Women's Longline Strapless Bra Underwired Full Coverage Corset Bra Push Up Boned Hide Back Fat Beige 42G","1","amazon.com","Amazon","SANTA CRUZ","CA","95062","MarketplaceFacilitator","42.99","4.08","0.46","0","0","0","0","0","-0.46","0","-4.08","-7.31","-6.14","0","0","29.54"
"Oct 18, 2025 1:07:11 AM PDT","24685695611","Order","114-2361947-3809843","WNUS-D33-5-5","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige XL","1","amazon.com","Amazon","RICHMOND","IN","47374","MarketplaceFacilitator","16.32","1.14","0","0","0","0","0","0","0","0","-1.14","-1.63","-5.12","0","0","9.57"
"Oct 18, 2025 1:08:17 AM PDT","24685695611","Order","112-4978381-4500232","WNUS-D33-265-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black+White+Beige 3Pack M","1","amazon.com","Amazon","MONUMENT","CO","80132","MarketplaceFacilitator","28.39","1.46","0","0","0","0","0","0","0","0","-1.46","-4.83","-5.90","0","0","17.66"
"Oct 18, 2025 1:10:28 AM PDT","24685695611","Refund","113-8154417-9453856","WNUS-D77-7-4","Lusait Lace Bralettes for Women Full Coverage Sexy No Underwire Deep V Racerback Bra Comfort Padded Bras Brown L","1","amazon.com","Amazon","San Antonio","TX","78240","MarketplaceFacilitator","-26.00","-2.15","-3.50","0","0","0","0","0","3.50","0","4.30","7.07","0","0","0","-16.78"
"Oct 18, 2025 1:10:28 AM PDT","24685695611","Refund","113-8154417-9453856","WNUS-D77-7-4","Lusait Lace Bralettes for Women Full Coverage Sexy No Underwire Deep V Racerback Bra Comfort Padded Bras Brown L","1","amazon.com","Amazon","San Antonio","TX","78240","","-26.00","-2.15","-3.49","0","0","0","0","0","3.49","0","0","0","0","0","0","-28.15"
"Oct 18, 2025 1:10:48 AM PDT","24685695611","Order","113-9389737-7509823","WNUS-D77-2-2","Lusait Lace Bralettes for Women Full Coverage Sexy No Underwire Deep V Racerback Bra Comfort Padded Bras Black S","1","amazon.com","Amazon","DENVER","CO","80238","MarketplaceFacilitator","26.00","2.38","0","0","0","0","0","0","0","0","-2.38","-4.42","-5.12","0","0","16.46"
"Oct 18, 2025 1:10:48 AM PDT","24685695611","Order","113-9389737-7509823","WNUS-D77-5-2","Lusait Lace Bralettes for Women Full Coverage Sexy No Underwire Deep V Racerback Bra Comfort Padded Bras Beige S","1","amazon.com","Amazon","DENVER","CO","80238","MarketplaceFacilitator","26.00","2.38","0","0","0","0","0","0","0","0","-2.38","-4.42","-5.12","0","0","16.46"
"Oct 18, 2025 1:13:09 AM PDT","24685695611","Order","112-8581920-2099401","WNUS-D65-6-4","DreamLeaf Bralettes for Women Wireless Adjustable Thin Straps Sports Bra Unlined Seamless Cami Crop Top Bra, Coconut White, L","1","amazon.com","Amazon","SANTA ANA","CA","92705","MarketplaceFacilitator","11.69","1.08","0","0","0","0","0","0","0","0","-1.08","-0.58","-4.45","0","0","6.66"
"Oct 18, 2025 1:14:39 AM PDT","24685695611","Order","113-7383489-7869052","WNUS-D33-2-5","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black XL","1","amazon.com","Amazon","MADISON","MS","39110","MarketplaceFacilitator","16.32","1.14","0.33","0","0","0","0","0","-0.33","0","-1.14","-1.63","-5.12","0","0","9.57"
"Oct 18, 2025 1:22:15 AM PDT","24685695611","Order","112-3835365-4953056","WNUS-D33-25-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black+Beige 2Pack M","1","amazon.com","Amazon","FORT WAYNE","IN","46825","MarketplaceFacilitator","25.55","1.79","0.60","0","0","0","0","0","-0.60","0","-1.79","-4.34","-5.12","0","0","16.09"
"Oct 18, 2025 1:29:47 AM PDT","24685695611","Order","S01-7469424-9138800","WNUS-D33-7-4","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Brown L","1","sim1.stores.amazon.com","Amazon","Houston","TX","77036","","0","0","0","0","0","0","0","0","0","0","0","0","-11.53","0","0","-11.53"
"Oct 18, 2025 1:36:55 AM PDT","24685695611","Order","113-4452771-6482659","WNUS-D65-2-4","DreamLeaf Bralettes for Women Wireless Adjustable Thin Straps Sports Bra Unlined Seamless Cami Crop Top Bra, Dark Grey, L","1","amazon.com","Amazon","SAN PEDRO","CA","90731","MarketplaceFacilitator","11.69","1.14","0","0","0","0","0","0","0","0","-1.14","-0.58","-4.45","0","0","6.66"
"Oct 18, 2025 1:37:45 AM PDT","24685695611","Order","111-8765598-5825831","WNUS-D33-2-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black M","1","amazon.com","Amazon","GILBERT","AZ","85295","MarketplaceFacilitator","16.32","1.35","0","0","0","0","0","0","0","0","-1.35","-1.63","-4.67","0","0","10.02"
"Oct 18, 2025 1:43:13 AM PDT","24685695611","Adjustment","113-8366822-0959408","WNUS-D33-5-3","FBA Inventory Reimbursement - Customer Return","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.52","10.52"
"Oct 18, 2025 1:49:43 AM PDT","24685695611","Order","112-4768159-7633053","WNUS-D73-9-2","Lusait Sports Bras for Women Medium Support Thin Straps Sexy Criss-Cross Yoga Bra Gym Crop Top for Workout Red S","1","amazon.com","Amazon","BROOKLYN","NY","11216","MarketplaceFacilitator","13.99","0","0","0","0","0","0","0","-7.00","0","0","-0.35","-4.67","0","0","1.97"
"Oct 18, 2025 1:50:13 AM PDT","24685695611","Refund","112-5265612-1003416","WNUS-D33-5-6","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige 2XL","1","amazon.com","Amazon","BELLMORE","NY","11710","Combined TCS+MTC","-19.77","-0.91","0","0","0","0","0","0","0","0","0.91","1.58","0","0","3.95","-14.24"
"Oct 18, 2025 1:52:15 AM PDT","24685695611","Order","112-5804218-3818641","WNUS-D33-5-2","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige S","1","amazon.com","Amazon","SOMERVILLE","MA","02144","MarketplaceFacilitator","16.32","0","0","0","0","0","0","0","0","0","0","-1.63","-4.45","0","0","10.24"
"Oct 18, 2025 2:00:19 AM PDT","24685695611","Order","111-1595435-4889834","WNUS-D33-5-5","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige XL","1","amazon.com","Amazon","Lenoir City","TN","37772","MarketplaceFacilitator","16.32","1.47","2.99","0.27","0","0","0","0","0","0","-1.74","-1.63","-8.11","0","0","9.57"
"Oct 18, 2025 2:15:44 AM PDT","24685695611","Order","113-1733086-4774648","WNUS-D33-5-2","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige S","1","amazon.com","Amazon","GILROY","CA","95020","MarketplaceFacilitator","16.32","1.49","0","0","0","0","0","0","0","0","-1.49","-1.63","-4.45","0","0","10.24"
"Oct 18, 2025 2:19:27 AM PDT","24685695611","Order","114-8655517-4129836","WNUS-D33-5-4","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige L","1","amazon.com","Amazon","CHELTENHAM","PA","19012","MarketplaceFacilitator","16.32","0","0","0","0","0","0","0","0","0","0","-1.63","-4.67","0","0","10.02"
"Oct 18, 2025 2:21:42 AM PDT","24685695611","Order","111-8301592-6797048","WNUS-D33-2-5","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black XL","1","amazon.com","Amazon","MARYSVILLE","OH","43040","MarketplaceFacilitator","16.32","1.14","0","0","0","0","0","0","0","0","-1.14","-1.63","-5.12","0","0","9.57"
"Oct 18, 2025 2:22:03 AM PDT","24685695611","Order","111-6797419-8680241","WNUS-D33-2-2","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black S","1","amazon.com","Amazon","DORCHESTER","MA","02125","MarketplaceFacilitator","16.32","0","0","0","0","0","0","0","0","0","0","-1.63","-4.45","0","0","10.24"
"Oct 18, 2025 2:25:17 AM PDT","24685695611","Refund","113-1109005-6918601","WNUS-D33-5-2","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige S","1","amazon.com","Amazon","LYNNWOOD","WA","98087","MarketplaceFacilitator","-16.32","-1.71","-0.75","0","0","0","0","0","0.75","0","1.71","1.30","0","0","0","-15.02"
"Oct 18, 2025 2:34:23 AM PDT","24685695611","Order","112-5985925-8121848","WNUS-D33-5-5","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige XL","1","amazon.com","Amazon","PARKVILLE","MD","21234","MarketplaceFacilitator","16.32","0.98","1.00","0","0","0","0","0","-1.00","0","-0.98","-1.63","-5.12","0","0","9.57"
"Oct 18, 2025 2:34:54 AM PDT","24685695611","Order","113-5971570-9533002","WNUS-D33-6-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette White M","1","amazon.com","Amazon","CHESAPEAKE","VA","23322","MarketplaceFacilitator","16.32","0.98","1.49","0","0","0","0","0","-1.49","0","-0.98","-1.63","-4.67","0","0","10.02"
"Oct 18, 2025 2:35:16 AM PDT","24685695611","Order","111-9111739-5526634","WNUS-D33-55-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige+Beige 2Pack M","1","amazon.com","Amazon","FREDERICKSBURG","VA","22405","MarketplaceFacilitator","25.55","1.35","0","0","0","0","0","0","0","0","-1.35","-4.34","-5.12","0","0","16.09"
